화면별,트랜잭션 경로(req),설명,INPUT 주요 파라미터,테스트 결과
기본조회,,,,
고객조회,customer/negociation/getCustCntBySearchCust.req,"고객명 검색 건수 조회 (150건 초과 시 팝업, getConditionalCustList2 실행 차단)",CUST_NM / CHK_FIX_CUST_NM(Y),O — 200 OK
고객조회,customer/common/customercommon/getConditionalCustList2.req,"고객 통합 검색 (전화번호, 주소, 고객번호(계약번호), 장비번호(S/N, MAC)로 고객정보를 조회. 고객명 단독 조회 시 getCustCntBySearchCust 선행)",SERCH_GB=3 / LOGIN_ID / CUST_NM / TEL_NO / CUST_ID / CTRT_ID / EQT_SERNO,O — 200 OK
고객조회,customer/negociation/getCustomerCtrtInfo.req,계약ID로 고객정보 역조회 (내부 검색용),CTRT_ID,O — 200 OK
고객정보,,,,
고객정보,customer/negociation/getCustInfo.req,고객 상세정보 조회 (고객명/주소/전화번호 등),CUST_ID,O — 200 OK
계약현황,,,,
계약현황,customer/negociation/getCustCtrtAll.req,"계약 목록 조회 — 계약ID, 계약상태, 상품명, 약정정보, 설치위치, 개통일, 장비정보(장비명, 모델명, 시리얼)",CUST_ID,O — 200 OK
계약현황,customer/negociation/getCustCtrtInfoListCnt_1.req,계약 현황 건수 조회,CUST_ID,O — 200 OK
계약현황,customer/negociation/getCustSearchCtrt.req,계약 상세 검색 (계약ID 기반),CUST_ID / CTRT_ID,O — 200 OK
계약현황,customer/work/getProdPromotionInfo.req,상품/프로모션 정보 조회,CTRT_ID,O — 200 OK
계약현황 - 상담 버튼,,상담등록 화면으로 이동,,O
계약현황 - AS 버튼,,AS접수 화면으로 이동,,O
계약현황 - 주소변경 버튼,,주소변경 화면으로 이동,,O
납부정보 / 요금내역,,,,
납부정보,customer/negociation/getCustAccountInfo.req,요금 내역 조회,CUST_ID,O — 200 OK
납부정보,customer/negociation/getCustAccountInfo_m.req,납부정보 조회 (모바일),CUST_ID / LOGIN_ID,O — 200 OK
요금내역,customer/negociation/getCustBillInfo_m.req,요금내역 조회 (모바일),PYM_ACNT_ID / CUST_ID / LOGIN_ID,O — 200 OK
납부정보,customer/negociation/getCustDpstInfo.req,수납 내역 조회,CUST_ID,O — 200 OK
납부정보,customer/negociation/getCustPymInfo.req,납부 정보 조회,CUST_ID,O — 200 OK
미납내역,billing/unpayment/upreport/getUnpaymentNowList.req,미납 내역 조회 (현재 기준),CUST_ID / PYM_ACNT_ID / LOGIN_ID,O — 200 OK
미납상세,billing/unpayment/upreport/getUnpaymentNowDtlList.req,미납 상세 내역 조회 (청구순번별),CUST_ID / BILL_YM / LOGIN_ID,O — 200 OK
미납금 수납(카드 수납),,,,
미납금 수납,billing/payment/anony/getCardVendorBySoId.req,카드사 벤더(MID) 조회 — PG 가맹점 ID,SO_ID,O — 200 OK
